root,subpath_2,subpath_3,subpath_4,file,index,code,comments,docstring,none,total
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,,,,schedule_orc.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/schedule_orc.py,24,0,0,8,32
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,,,,config.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/config.py,18,2,0,5,25
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,,,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/__init__.py,0,0,0,0,0
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,,,,utils.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/utils.py,65,0,3,21,89
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,,,,app.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/app.py,10,0,0,5,15
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,,,,wsgi.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/wsgi.py,6,0,0,4,10
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,,,vdb.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/vdb.py,3,0,0,3,6
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,,,qc.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/qc.py,63,1,1,9,74
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/__init__.py,81,3,0,13,97
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,,,msi.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/msi.py,35,0,0,9,44
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,,,utils.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/utils.py,0,21,0,2,23
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,,,gvi.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/gvi.py,85,0,0,16,101
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,,,validation.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/validation.py,75,0,6,11,92
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,table,,brdb_test.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/table/brdb_test.py,30,0,0,15,45
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,table,,brdb.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/table/brdb.py,441,3,0,66,510
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,table,,brp.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/table/brp.py,29,0,0,13,42
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,table,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/table/__init__.py,0,0,0,0,0
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,variant,,update.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/variant/update.py,3,0,0,3,6
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,variant,,show.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/variant/show.py,211,6,45,22,284
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,variant,,plot.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/variant/plot.py,21,0,0,5,26
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,variant,,add.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/variant/add.py,7,0,0,4,11
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,variant,,mark_fp.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/variant/mark_fp.py,3,0,0,3,6
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,variant,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/variant/__init__.py,0,0,0,3,3
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,database,variant,,compare.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/database/variant/compare.py,139,0,12,22,173
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,tests,user,,user.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/tests/user/user.py,21,1,0,7,29
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,tests,scheduled,,update_status.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/tests/scheduled/update_status.py,9,0,0,7,16
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,,,user.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/user.py,22,0,0,8,30
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,,,error.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/error.py,26,0,3,10,39
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,,,locker.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/locker.py,94,2,3,16,115
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,,,__init__.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/__init__.py,6,0,3,5,14
/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new,models,,,vdb_table.py,/Users/guojiao/Desktop/BR/a工作/Project/ORC/orc-new/models/vdb_table.py,53,0,0,11,64
